Territory,Claimants,Controller,Region,Population
Abyei,South Sudan;Sudan,Sudan,Africa,N/A
Heglig,Sudan;South Sudan,Sudan,Africa,N/A
Kafia Kingi,Sudan;South Sudan,Sudan,Africa,N/A
Banc du Geyser,Madagascar;France;Comoros,Unknown,Africa,N/A
Bassas da India,France;Madagascar,France,Africa,N/A
Europa Island,Madagascar;France,France,Africa,N/A
Juan de Nova Island,France;Madagascar,France,Africa,N/A
Ceuta,Morocco;Spain,Spain,Africa,N/A
Melilla,Spain;Morocco,Spain,Africa,N/A
plazas de soberanía,Morocco;Spain,Spain,Africa,N/A
Chagos Archipelago,United Kingdom;Mauritius;Maldives,United Kingdom,Africa,N/A
Ras Doumeira,Eritrea;Djibouti,Eritrea,Africa,N/A
Doumeira Island,Eritrea;Djibouti,Eritrea,Africa,N/A
Glorioso Islands,Madagascar;France;Comoros,France,Africa,N/A
Hala'ib Triangle,Sudan;Egypt,Egypt,Africa,N/A
Ilemi Triangle,Kenya;South Sudan,Kenya,Africa,N/A
KaNgwane,Eswatini;South Africa,South Africa,Africa,N/A
Ingwavuma,Eswatini;South Africa,South Africa,Africa,N/A
Koalou,Burkina Faso;Benin,Unknown,Africa,N/A
Sipilou,Ivory Coast;Guinea,Ivory Coast,Africa,N/A
Logoba,Uganda;South Sudan,Unknown,Africa,N/A
Moyo District,Uganda;South Sudan,Unknown,Africa,N/A
Chiengi,Zambia;Democratic Republic of Congo,Zambia,Africa,N/A
Lunchinda-Pweto Province,Democratic Republic of Congo;Zambia,Zambia,Africa,N/A
Mayotte,France;Comoros,France,Africa,N/A
Mbamba Bay,Tanzania;Malawi,Tanzania,Africa,N/A
Lake Nyasa,Malawi;Tanzania,Tanzania,Africa,N/A
Mbañie Island,Equatorial Guinea;Gabon,Unknown,Africa,N/A
Cocotiers,Equatorial Guinea;Gabon,Unknown,Africa,N/A
Congas Island,Equatorial Guinea;Gabon,Unknown,Africa,N/A
Migingo Island,Kenya;Uganda,Unknown,Africa,N/A
Lolwe,Kenya;Uganda,Unknown,Africa,N/A
Oyasi,Uganda;Kenya,Unknown,Africa,N/A
Remba,Uganda;Kenya,Unknown,Africa,N/A
Ringiti,Uganda;Kenya,Unknown,Africa,N/A
Sigulu,Kenya;Uganda,Unknown,Africa,N/A
Lake Victoria,Uganda;Kenya,Unknown,Africa,N/A
Congo River,Republic of the Congo;Democratic Republic of Congo,Unknown,Africa,N/A
Ntem River,Equatorial Guinea;Cameroon,Unknown,Africa,N/A
Okpara River,Nigeria;Benin,Unknown,Africa,N/A
Orange River,South Africa;Namibia,Unknown,Africa,N/A
Rukwanzi Island,Democratic Republic of Congo;Uganda,Unknown,Africa,N/A
Semliki River,Uganda;Democratic Republic of Congo,Unknown,Africa,N/A
Sindabezi Island,Zimbabwe;Zambia,Zambia,Africa,N/A
Socotra Archipelago,Somalia;Yemen,Unknown,Africa,N/A
Tromelin Island,Mauritius;France,France,Africa,N/A
Wadi Halfa,Sudan;Egypt,Egypt,Africa,N/A
Ashmore and Cartier Islands,Australia;Indonesia,Australia,Asia,N/A
Aarsal,Syria;Lebanon,Lebanon,Asia,N/A
Deir El Aachayer,Syria;Lebanon,Lebanon,Asia,N/A
Kfar Qouq,Syria;Lebanon,Lebanon,Asia,N/A
Mazraat Deir al-Ashayer,Syria;Lebanon,Lebanon,Asia,N/A
Qaa,Lebanon;Syria,Lebanon,Asia,N/A
Qasr,Lebanon;Syria,Lebanon,Asia,N/A
Tuffah,Syria;Lebanon,Lebanon,Asia,N/A
Shatt al-Arab,Iraq;Iran,Unknown,Asia,N/A
Abu Musa,Iran;United Arab Emirates,Iran,Asia,N/A
Greater and Lesser Tunbs,United Arab Emirates;Iran,Iran,Asia,N/A
Nagorno-Karabakh region,Azerbaijan;Armenia,Unknown,Asia,N/A
Syunik Province,Azerbaijan;Armenia,Azerbaijan,Asia,N/A
Azad Kashmir,India;Pakistan,Pakistan,Asia,N/A
Gilgit-Baltistan,India;Pakistan,Pakistan,Asia,N/A
Jammu and Kashmir,India;Pakistan,India,Asia,N/A
Aksai Chin,India;Republic of China;People's Republic of China;China,Unknown,Outside UN,N/A
Tawang,India;China,India,Asia,N/A
Arunachal Pradesh,China;India,Unknown,Asia,N/A
David Gareja monastery complex,Georgia;Azerbaijan,Unknown,Asia,N/A
Doi Lang,Myanmar;Thailand,Myanmar,Asia,N/A
Fasht Ad Dibal,Qatar;Bahrain,Unknown,Asia,N/A
Qit'at Jaradah,Qatar;Bahrain,Unknown,Asia,N/A
Fergana Valley,Kyrgyzstan;Tajikistan;Uzbekistan,Unknown,Asia,N/A
