Territory,Claimants,Controller,Region
Abyei,South Sudan;Sudan,Sudan,Africa
Heglig,Sudan;South Sudan,Sudan,Africa
Kafia Kingi,Sudan;South Sudan,Sudan,Africa
Banc du Geyser,Madagascar;France;Comoros,Unknown,Africa
Bassas da India,France;Madagascar,France,Africa
Europa Island,Madagascar;France,France,Africa
Juan de Nova Island,France;Madagascar,France,Africa
Ceuta,Morocco;Spain,Spain,Africa
Melilla,Spain;Morocco,Spain,Africa
plazas de soberanía,Morocco;Spain,Spain,Africa
Chagos Archipelago,United Kingdom;Mauritius;Maldives;Seychelles,United Kingdom,Africa
Doumeira Mountain,Eritrea;Djibouti,Eritrea,Africa
Ras Doumeira,Eritrea;Djibouti,Eritrea,Africa
Doumeira Island,Djibouti;Eritrea,Eritrea,Africa
Glorioso Islands,Madagascar;France;Comoros,France,Africa
Hala'ib Triangle,Egypt;Sudan,Egypt,Africa
Ilemi Triangle,South Sudan;Kenya,Kenya,Africa
KaNgwane,Eswatini;South Africa,South Africa,Africa
Ingwavuma,South Africa;Eswatini,South Africa,Africa
Koalou,Burkina Faso;Benin,Unknown,Africa
Kpéaba,Guinea;Ivory Coast,Ivory Coast,Africa
Sipilou,Guinea;Ivory Coast,Ivory Coast,Africa
Logoba,South Sudan;Uganda,Unknown,Africa
Moyo District,Uganda;South Sudan,Unknown,Africa
Chiengi,Zambia;Democratic Republic of Congo,Zambia,Africa
Lunchinda-Pweto Province,Zambia;Democratic Republic of Congo,Zambia,Africa
Lunkinda River,Zambia;Democratic Republic of Congo,Democratic Republic of Congo,Africa
Pweto,Zambia;Democratic Republic of Congo,Democratic Republic of Congo,Africa
Mayotte,Comoros;France,France,Africa
Mbamba Bay,Malawi;Tanzania,Tanzania,Africa
Lake Nyasa,Tanzania;Malawi,Tanzania,Africa
Mbañie Island,Gabon;Equatorial Guinea,Unknown,Africa
Cocotiers,Equatorial Guinea;Gabon,Unknown,Africa
Congas Island,Equatorial Guinea;Gabon,Unknown,Africa
Migingo Island,Uganda;Kenya,Unknown,Africa
Lolwe,Kenya;Uganda,Unknown,Africa
Oyasi,Uganda;Kenya,Unknown,Africa
Remba,Kenya;Uganda,Unknown,Africa
Ringiti,Uganda;Kenya,Unknown,Africa
Sigulu,Uganda;Kenya,Unknown,Africa
