code	template
sq	A është XX një territor i YY apo ZZ?
lo	XX ເປັນອານາເຂດຂອງ YY ຫຼື ZZ ບໍ?
ht	Èske XX se yon teritwa YY oswa ZZ?
ti	XX ናይ YY ወይ ZZ ግዝኣት ድዩ?
uk	XX є територією YY чи ZZ?
uz	XX YY yoki ZZ hududimi?
fr	XX est-il un territoire de YY ou ZZ ?
hy	XX-ը YY կամ ZZ տարածք է:
hr	Je li XX teritorij YY ili ZZ?
zht	XX 是 YY 還是 ZZ 的領地？
id	Apakah XX wilayah YY atau ZZ?
it	XX è un territorio di YY o ZZ?
bn	XX কি YY বা ZZ এর একটি অঞ্চল?
bs	Da li je XX teritorija YY ili ZZ?
en	Is XX a territory of YY or ZZ?
nl	Is XX een territorium van YY of ZZ?
ms	Adakah XX adalah wilayah YY atau ZZ?
hi	क्या XX YY या ZZ का क्षेत्र है?
tg	Оё XX қаламрави YY ё ZZ аст?
ky	XX YY же ZZ аймагыбы?
my	XX သည် YY သို့မဟုတ် ZZ ၏ နယ်မြေဖြစ်ပါသလား။
ur	کیا XX YY یا ZZ کا علاقہ ہے؟
el	Είναι το XX περιοχή του YY ή του ZZ;
mg	Faritanin'i YY sa ZZ ve ny XX?
ja	XX は YY または ZZ の領土ですか?
sw	Je, XX ni eneo la YY au ZZ?
da	Er XX et område af YY eller ZZ?
tl	Ang XX ba ay teritoryo ng YY o ZZ?
sl	Je XX ozemlje YY ali ZZ?
ru	Является ли XX территорией YY или ZZ?
tr	XX, YY veya ZZ'nin bir bölgesi midir?
az	XX YY və ya ZZ ərazisidir?
ne	के XX YY वा ZZ को क्षेत्र हो?
ko	XX는 YY 또는 ZZ의 영역입니까?
iw	האם XX הוא טריטוריה של YY או ZZ?
sn	XX inzvimbo ye YY kana ZZ?
so	XX ma dhul YY mise ZZ?
vi	XX là lãnh thổ của YY hay ZZ?
sr	Да ли је XX територија YY или ZZ?
pt	XX é um território de YY ou ZZ?
mn	XX нь YY эсвэл ZZ-ийн нутаг дэвсгэр үү?
th	XX เป็นเขตแดนของ YY หรือ ZZ
ka	XX არის YY ან ZZ-ის ტერიტორია?
es	¿XX es un territorio de YY o de ZZ?
ar	هل XX هي أراضي YY أو ZZ؟
is	Er XX yfirráðasvæði YY eða ZZ?
zhs	XX 是 YY 还是 ZZ 的领地？
km	តើ XX ជាទឹកដីនៃ YY ឬ ZZ?
fa	آیا XX قلمرو YY یا ZZ است؟
